id_poradi,id_losovani,id_poslanec,id_ministr,vec,poradi_l,priorita,vec32
1199,62,329,263,ve věci zvýšení nájemného bytů ČR                           ,7,0,
1200,62,329,263,ve věci městské policie                                     ,10,0,
1201,62,329,263,ve věci SPT TELECOM                                         ,6,0,
1202,61,319,264,ve věci přidělování 500 DM uprchlíkům z Bosny               ,25,0,
1203,61,319,193,ve věci služby v cizí armádě                                ,14,0,
1204,61,319,264,ve věci inflace                                             ,9,0,
1205,61,319,276,ve věci bezpečnosti v ČR                                    ,10,0,
1206,61,327,437,ve věci železniční nemocnice                                ,3,0,
1207,61,329,294,ve věci živ.prostředí na okr.Prostějov                      ,26,0,
1208,61,329,437,ve věci údržby státních silnic                              ,17,0,
1209,63,243,288,ve věci situace v českých zbrojovkách                       ,310,0,
1210,64,320,263,ve věci česko-německé deklarace                             ,120,0,
1211,64,320,263,ve věci volebního zákona                                    ,123,0,
1212,63,320,62,nespecifikováno 1                                           ,263,0,
1213,63,320,62,nespecifikováno 2                                           ,214,0,
1214,63,320,299,nespecifikováno 1                                           ,238,0,
1215,63,320,299,nespecifikováno 2                                           ,367,0,
1216,63,320,193,nespecifikováno 1                                           ,105,0,
1217,63,320,193,nespecifikováno 2                                           ,77,0,
1218,63,320,276,nespecifikováno 1                                           ,380,0,
1219,63,320,276,nespecifikováno 2                                           ,155,0,
1220,63,320,272,nespecifikováno 1                                           ,368,0,
1221,63,320,272,nespecifikováno 2                                           ,139,0,
1222,63,320,272,nespecifikováno 3                                           ,110,0,
1223,63,320,152,nespecifikováno 1                                           ,35,0,
1224,63,320,152,nespecifikováno 2                                           ,354,0,
1225,64,115,263,ve věci státního rozpočtu a důchodů                         ,83,0,
1226,64,93,263,ve věci situace v zemědělství                               ,12,0,
1227,64,93,263,ve věci causy WALLIS                                        ,115,0,
1228,64,93,263,ve věci výskytu štvavých letáků na Domažlicku               ,23,0,
1229,64,93,263,ve věci zahraniční kritiky zákona o občanství               ,61,0,
1230,64,93,263,ve věci proexportní politiky                                ,91,0,
1231,64,93,263,ve věci utajené návštěvy šéfa ruské špionáže v Praze        ,105,0,
1232,64,93,263,ve věci ochrany proti drogám                                ,99,0,
1233,64,93,263,ve věci návštěvy USA                                        ,10,0,
1234,64,93,263,ve věci povinné účasti policistů na mítinku předsedy vlády Č,16,0,
1235,64,93,263,ve věci neposkytnutí finančního grantu OKO                  ,34,0,
1236,64,93,263,ve věci zdražování jízdného v žel. dopravě                  ,114,0,
1237,64,93,263,ve věci podpory vývozu                                      ,4,0,
1238,64,93,263,ve věci prezentace ČR                                       ,43,0,
1239,64,93,263,ve věci výstavby dálnic                                     ,109,0,
1240,64,93,263,ve věci průběhu česko-němckého jednání                      ,100,0,
1241,64,93,263,ve věci česko-německé deklarace                             ,86,0,
1242,63,115,193,ve věci vojenských uniforem                                 ,63,0,
1243,63,115,193,ve věci vojenské šikany                                     ,59,0,
1244,63,115,288,ve věci salmonely v potravinách                             ,120,0,
1245,63,115,284,ve věci česko-německé deklarace                             ,25,0,
1246,63,115,264,ve věci Agrobanky                                           ,74,0,
1247,63,115,299,ve věci rozpočtu MZe                                        ,337,0,
1248,63,115,62,ve věci státních zastupitelstev                             ,275,0,
1249,63,115,284,ve věci sudetoněmecké otázky                                ,144,0,
1250,63,115,152,ve věci zdrav. pojišťovny                                   ,178,0,
1251,63,115,294,ve věci metanu v ostravských bytech                         ,325,0,
1252,63,115,288,ve věci TOS Kuřim                                           ,32,0,
1253,63,115,288,ve věci české rafinérské                                    ,321,0,
1254,63,115,264,ve věci Kreditní banky a certifikátů                        ,47,0,
1255,63,115,284,ve věci odškodnění Němců                                    ,343,0,
1256,63,93,294,ve věci neposkytnutí finančního grantu OKD                  ,392,0,
1257,63,93,193,ve věci účasti AČR v nové misi pro IFOR v Bosně             ,283,0,
1258,63,93,193,ve věci havárie letounu MIG-21                              ,62,0,
1259,63,93,264,ve věci situace v českém bankovním sektoru                  ,217,0,
1260,64,213,263,ve věci postoje vlády k rozš. dovozu použ. druhořad.výr.zahr,97,0,
1261,64,319,263,nespecifikované                                             ,84,0,
1262,64,319,263,nespecifikované                                             ,75,0,
1263,64,319,263,nespecifikované                                             ,122,0,
1264,64,319,263,nespecifikované                                             ,81,0,
1265,64,319,263,nespecifikované                                             ,9,0,
1266,64,319,263,nespecifikované                                             ,39,0,
1267,64,319,263,nespecifikované                                             ,33,0,
1268,64,319,263,nespecifikované                                             ,7,0,
1269,64,319,263,nespecifikované                                             ,80,0,
1270,64,319,263,nespecifikované                                             ,96,0,
1271,64,319,263,nespecifikované                                             ,11,0,
1272,64,319,263,nespecifikované                                             ,125,0,
1273,64,319,263,nespecifikované                                             ,8,0,
1274,64,319,263,nespecifikované                                             ,58,0,
1275,64,319,263,nespecifikované                                             ,116,0,
1276,64,319,263,nespecifikované                                             ,49,0,
1277,64,319,263,nespecifikované                                             ,82,0,
1278,64,319,263,nespecifikované                                             ,55,0,
1279,64,319,263,nespecifikované                                             ,102,0,
1280,64,319,263,nespecifikované                                             ,40,0,
1281,63,331,299,ve věci zemědělství                                         ,85,0,
1282,63,331,299,ve věci zemědělství                                         ,197,0,
1283,63,331,299,ve věci zemědělství                                         ,129,0,
1284,63,331,272,ve věci školství                                            ,51,0,
1285,63,331,272,ve věci školství                                            ,218,0,
1286,63,331,272,ve věci školství                                            ,196,0,
1287,63,331,272,ve věci školství                                            ,346,0,
1288,63,331,299,ve věci zemědělství                                         ,312,0,
1289,63,331,299,ve věci zemědělství                                         ,220,0,
1290,63,331,299,ve věci zemědělství                                         ,11,0,
1291,63,331,299,ve věci zemědělství                                         ,279,0,
1292,63,331,299,ve věci zemědělství                                         ,326,0,
1293,63,331,299,ve věci zemědělství                                         ,99,0,
1294,63,331,299,ve věci zemědělství                                         ,362,0,
1295,63,331,299,ve věci zemědělství                                         ,246,0,
1296,63,331,299,ve věci zemědělství                                         ,244,0,
1297,63,331,272,ve věci školství                                            ,280,0,
1298,63,331,302,ve věci školství                                            ,21,0,
1299,63,331,302,ve věci školství                                            ,211,0,
1300,63,319,276,nespecifikované                                             ,256,0,
1301,63,319,436,nespecifikované                                             ,376,0,
1302,63,319,264,nespecifikované                                             ,289,0,
1303,63,319,264,nespecifikované                                             ,377,0,
1304,63,319,288,nespecifikované                                             ,350,0,
1305,63,319,437,nespecifikované                                             ,278,0,
1306,63,319,436,nespecifikované                                             ,34,0,
1307,63,319,299,nespecifikované                                             ,193,0,
1308,63,319,284,nespecifikované                                             ,52,0,
1309,63,319,152,nespecifikované                                             ,14,0,
1310,63,319,62,nespecifikované                                             ,358,0,
1311,63,319,272,nespecifikované                                             ,159,0,
1312,63,319,288,nespecifikované                                             ,22,0,
1313,63,319,264,nespecifikované                                             ,78,0,
1314,63,319,264,nespecifikované                                             ,83,0,
1315,63,319,264,nespecifikované                                             ,232,0,
1316,63,319,437,nespecifikované                                             ,33,0,
1317,63,319,193,nespecifikované                                             ,13,0,
1318,63,319,284,nespecifikované                                             ,94,0,
1319,63,319,276,nespecifikované                                             ,42,0,
1320,63,319,276,nespecifikované                                             ,157,0,
1321,63,319,276,nespecifikované                                             ,268,0,
1322,63,319,276,nespecifikované                                             ,118,0,
1323,63,319,276,nespecifikované                                             ,351,0,
1324,63,319,276,nespecifikované                                             ,54,0,
1325,63,319,276,nespecifikované                                             ,303,0,
1326,63,319,276,nespecifikované                                             ,292,0,
1327,63,319,276,nespecifikované                                             ,172,0,
1328,63,319,276,nespecifikované                                             ,251,0,
1329,63,319,276,nespecifikované                                             ,233,0,
1330,63,319,276,nespecifikované                                             ,222,0,
1331,63,93,299,ve věci fondu státní regulace                               ,98,0,
1332,63,93,299,ve věci ochrany českého trhu                                ,132,0,
1333,63,93,272,ve věci krácení rozpočtu VŠ                                 ,216,0,
1334,63,93,272,ve věci fin. soukr. škol                                    ,124,0,
1335,63,93,193,ve věci vojenských VŠ                                       ,224,0,
1336,63,93,193,ve věci organizace A ČR                                     ,330,0,
1337,63,93,288,ve věci podpory vývozu                                      ,284,0,
1338,63,93,299,ve věci krachu tuzemských mlékáren                          ,26,0,
1339,63,93,193,ve věci výstroje vojáků ZS                                  ,36,0,
1340,63,93,193,ve věci voj. střelnice v Pístově u Jihlavy                  ,7,0,
1341,63,93,193,ve věci prohlášení gen. Nekvasila v Londýně                 ,114,0,
1342,63,93,193,ve věci průběhu slav. nástupu ke 45.výročí brněn.voj.ak.    ,291,0,
1343,63,93,437,ve věci návštěvy autosalónu v Hannoveru                     ,58,0,
1344,63,93,437,ve věci stavby dálničního přivaděče u Rousinova             ,235,0,
1345,63,93,193,ve věci pers. politiky MO                                   ,353,0,
1346,63,93,193,ve věci majetku A ČR                                        ,49,0,
1347,63,93,276,ve věci zneužívání pravomoci policistou                     ,259,0,
1348,63,93,276,ve věci návštěvy šéfa ruské špionáže v Praze                ,174,0,
1349,63,93,437,ve věci výstavby pozemních komunikací                       ,184,0,
1350,63,93,437,ve věci zdražování jízdného v žel. dopravě                  ,194,0,
1351,63,93,284,ve věci výměny velvyslanců                                  ,302,0,
1352,63,93,276,ve věci bezp. agentur                                       ,269,0,
1353,63,93,276,ve věci povinné účasti policistů na mítinku před.vlády ČR   ,267,0,
1354,63,93,276,ve věci ochrany proti drogám                                ,299,0,
1355,63,93,284,ve věci česko-německých jednání                             ,301,0,
1356,63,93,284,ve věci česko-německé deklarace                             ,97,0,
1357,63,93,284,ve věci diplomatického bulletinu                            ,158,0,
1358,63,93,284,ve věci prezentace ČR                                       ,237,0,
1359,63,322,264,ve věci krachů našich bank                                  ,48,0,
1360,63,322,276,dotaz na mož.poruš. z. v předkládání dotazníků ve školách   ,65,0,
1361,63,322,281,ve věci stížnosti občanů na úřad soc. věcí v Šumperku       ,315,0,
1362,63,322,276,ve věci podezření z porušení pravomocí veř. činitele        ,38,0,
1363,63,322,284,ve věci odškodnění válkou postižených občanů                ,318,0,
1364,63,322,272,ve věci dotazu na dotazníky při přijímání prvňáčků          ,123,0,
1365,63,322,276,ve věci korupce policistů                                   ,12,0,
1366,63,322,152,ve věci dluhů zdrav. pojišťoven                             ,182,0,
1367,63,322,294,ve věci výstavby dálnic                                     ,365,0,
1368,63,322,302,ve věci dotace na vyhořelé divadlo v Šumperku               ,215,0,
1369,63,322,288,ve věci zpomalení prům. růstu                               ,15,0,
1370,63,322,299,ve věci cen ovoce a zeleniny                                ,179,0,
1371,63,322,437,ve věci rušení dopr. spojů                                  ,253,0,
1372,63,322,272,ve věci špatné výuky jazyků na zákl. školách                ,252,0,
1373,63,322,299,ve věci sklizně obilí a jejích dopadů                       ,164,0,
1374,63,322,62,ve věci korupce soudců                                      ,95,0,
1375,63,321,299,ve věci fondu tržní regulace                                ,81,0,
1376,63,321,193,ve věci havárie MIG 21                                      ,128,0,
1377,63,321,299,ve věci osevních porostů                                    ,359,0,
1378,63,321,152,ve věci poplatků ve zdravotnictví                           ,226,0,
1379,63,321,264,ve věci bankovního systému                                  ,387,0,
1380,63,321,284,ve věci česko-něm. smlouvy                                  ,195,0,
1381,63,321,288,ve věci deregulace energie                                  ,168,0,
1382,63,228,193,ve věci financování armády                                  ,71,0,
1383,63,321,272,ve věci nespecifikované                                     ,61,0,
1384,63,321,288,ve věci nespecifikované                                     ,385,0,
1385,63,321,152,ve věci nespecifikované                                     ,125,0,
1386,63,321,294,ve věci nespecifikované                                     ,352,0,
1387,63,321,152,ve věci nespecifikované                                     ,200,0,
1388,63,321,281,ve věci nespecifikované                                     ,100,0,
1389,63,321,193,ve věci nespecifikované                                     ,127,0,
1390,63,321,299,ve věci nespecifikované                                     ,248,0,
1391,63,321,288,ve věci nespecifikované                                     ,189,0,
1392,63,321,284,ve věci nespecifikované                                     ,142,0,
1393,63,321,264,ve věci nespecifikované                                     ,190,0,
1394,63,321,299,ve věci sklizně 1996                                        ,375,0,
1395,63,321,299,ve věci celních opatření v zemědělství                      ,141,0,
1396,63,321,281,ve věci soc. systému                                        ,357,0,
1397,63,321,281,ve věci příspěvků                                           ,72,0,
1398,63,321,281,ve věci kontaktních míst                                    ,236,0,
1399,63,321,281,ve věci soc. dávek                                          ,295,0,
1400,63,321,299,ve věci obilovin                                            ,287,0,
1401,63,321,152,ve věci financování zdravotnictví                           ,20,0,
1402,63,321,264,ve věci Škody Ml. Boleslav                                  ,53,0,
1403,63,321,284,ve věci RB OSN                                              ,104,0,
1404,63,321,272,ve věci vědy - výzkumu                                      ,311,0,
1405,63,321,299,ve věci dovozu zákl. potravin                               ,108,0,
1406,63,321,264,ve věci poplatků tel.+rozhlas                               ,313,0,
1407,63,321,288,ve věci pošty                                               ,143,0,
1408,63,321,288,ve věci Telekomu                                            ,111,0,
1409,63,321,288,ve věci tisku v ČR                                          ,393,0,
1410,63,321,299,ve věci subvencí v zemědělství                              ,272,0,
1411,63,321,284,ve věci zahraničních cest                                   ,30,0,
1412,63,321,288,ve věci deregulace nájemného                                ,68,0,
1413,63,321,264,ve věci ČNB                                                 ,154,0,
1414,63,329,62,šetření poruš. vol.z. v Plumlově na Prostějovsku            ,147,0,
1415,63,329,62,poruš. zákl. list. práv a svobod tel. řádem SPT Telecom     ,131,0,
1416,63,329,62,"nerespektování ústavy některými soudci, just. strážci a dal.",175,0,
1417,63,329,436,poruš. zákl. list. práv a svobod tel. řádem SPT Telecom     ,281,0,
1418,63,329,436,poruš. zákl. list. práv a svobod tel. řádem SPT Telecom     ,1,0,
1419,63,329,436,šetření stížností na SPT Telecom orgánem ČTÚ                ,297,0,
1420,63,329,436,šetření stížností na SPT Telecom orgánem ČTÚ                ,46,0,
1421,63,329,436,ve věci byt. problematiky                                   ,225,0,
1422,63,329,436,ve věci byt. problematiky                                   ,308,0,
1423,63,329,437,vozovka ulice Domamyslická v Protějově                      ,152,0,
1424,63,329,437,ve věci hlavního vlak. nádraží v Prostějově                 ,373,0,
1425,63,329,437,ve věci vybav. rychlíků a vlaků EC a IC                     ,274,0,
1426,63,329,437,ve věci návaznosti vlak. spojů                              ,391,0,
1427,63,329,294,vozovka ulice Domamyslická v Protějově                      ,221,0,
1428,63,329,294,ve věci znečisťování přírody odpady z domácností v Prostějov,223,0,
1429,63,329,152,vozovka ulice Domamyslická v Protějově                      ,258,0,
1430,63,329,152,"ve věci hygien. a soc. zař. budov, které jsou kolaudovány   ",96,0,
1431,63,329,276,vozovka ulice Domamyslická v Protějově                      ,107,0,
1432,63,329,276,označ. vozidel značkou výchozího státu                      ,394,0,
1433,63,329,276,poruš. zákl. lid. práv a svobod souv. z trest čin. SPT Telec,101,0,
1434,63,329,276,ve věci trest. činnosti                                     ,130,0,
1435,63,329,264,ve věci povinnosti daní                                     ,290,0,
1436,63,329,264,ve věci krachů bank                                         ,347,0,
1437,63,329,281,ve věci dětského domova LILA                                ,167,0,
1438,63,329,281,ve věci dávek soc. zabezp.                                  ,382,0,
1439,63,329,152,ve věci zanedbání lék. péče                                 ,345,0,
1440,63,329,152,"ve věci  SPT telecom, Eurotel a radiokomunikací             ",87,0,
1441,63,329,437,ve věci datací pro FTL Prostějov                            ,69,0,
1442,63,329,437,ve věci okrádání občanů bílé pleti cikány                   ,336,0,
1443,63,329,193,ve věci vojenských lesů                                     ,43,0,
1444,63,329,193,sniž. stavu důstoj. a praporčíku A ČR                       ,133,0,
1445,63,329,284,ve věci neposkytnutí pomoci občanům ČR                      ,149,0,
1446,63,329,284,plnění pravd. letáků tzv. Informace spolkové vlády...       ,150,0,
1447,63,329,288,ve věci obchodu a poskyt. služeb                            ,73,0,
1448,63,329,288,ve věci obchodu a poskyt. služeb                            ,316,0,
1449,63,329,436,ve věci bytů                                                ,381,0,
1450,63,329,436,ve věci bytů                                                ,56,0,
1451,63,329,299,ve věci zemědělství                                         ,93,0,
1452,63,329,299,ve věci zemědělství                                         ,257,0,
1453,63,323,272,ve věci školství                                            ,342,0,
1454,63,323,152,ve věci zdravotnictví                                       ,307,0,
1455,63,323,193,ve věci armády                                              ,240,0,
1456,63,323,276,ve věci kriminality                                         ,229,0,
1457,63,323,276,ve věci nespecfikované                                      ,70,0,
1458,63,331,299,ve věci zemědělství                                         ,170,0,
1459,63,331,193,ve věci šikany                                              ,255,0,
1460,63,331,264,ve věci bankovnictví                                        ,306,0,
1461,63,331,437,ve věci dopr. obslužnosti                                   ,28,0,
1462,63,331,299,ve věci zemědělství                                         ,92,0,
1463,63,331,299,ve věci zemědělství                                         ,89,0,
1464,63,331,299,ve věci zemědělství                                         ,39,0,
1465,63,331,299,ve věci zemědělství                                         ,40,0,
1466,63,331,299,ve věci zemědělství                                         ,210,0,
1467,63,331,299,ve věci zemědělství                                         ,91,0,
1468,63,327,152,ve věci obsazení min. zdr.                                  ,209,0,
1469,63,327,152,ve věci zdravotnictví                                       ,363,0,
1470,63,327,152,ve věci nemocnic                                            ,271,0,
1471,63,327,276,ve věci cizinců                                             ,270,0,
1472,63,327,276,ve věci cizinců                                             ,115,0,
1473,63,327,152,nespecifikováno I.                                          ,29,0,
1474,63,327,152,nespecifikováno II.                                         ,192,0,
1475,63,327,152,nespecifikováno III.                                        ,335,0,
1476,63,327,294,ve věci SFŽP                                                ,187,0,
1477,63,327,294,ve věci přehrad                                             ,140,0,
1478,63,327,276,nespecifikováno I.                                          ,31,0,
1479,63,327,276,nespecifikováno II.                                         ,331,0,
1480,63,327,276,nespecifikováno III.                                        ,208,0,
1481,63,327,294,nespecifikováno I.                                          ,234,0,
1482,63,327,193,ve věci armády ČR                                           ,206,0,
1483,63,327,152,ve věci zdravotnictví                                       ,23,0,
1484,63,327,437,nespecifikováno I.                                          ,24,0,
1485,63,327,62,ve věci věznic                                              ,386,0,
1486,63,327,437,ve věci dopravy                                             ,67,0,
1487,63,327,437,nespecifikováno II.                                         ,243,0,
1488,63,327,281,nespecifikováno II.                                         ,19,0,
1489,63,327,281,ve věci DD a ÚSP                                            ,328,0,
1490,63,327,281,nespecifikováno I.                                          ,264,0,
1491,63,327,264,nespecifikováno I.                                          ,165,0,
1492,63,327,264,nespecifikováno II.                                         ,103,0,
1493,63,327,264,ve věci bankovnictví                                        ,163,0,
1494,63,327,284,nespecifikováno I.                                          ,84,0,
1495,63,327,437,ve věci leteckých licencí                                   ,341,0,
1496,63,327,437,ve věci nemocnice                                           ,324,0,
1497,63,327,276,ve věci kriminality                                         ,266,0,
1498,63,327,276,ve věci zneužívání MV                                       ,112,0,
1499,63,327,62,nespecifikováno II.                                         ,309,0,
1500,63,327,284,ve věci česko-něeckých vztahů                               ,201,0,
1501,63,327,284,ve věci vztahů ČR                                           ,17,0,
1502,63,327,284,nespecifikováno II.                                         ,369,0,
1503,63,327,284,nespecifikováno III.                                        ,60,0,
1504,63,327,62,nespecifikováno I.                                          ,2,0,
1505,63,327,436,nespecifikováno II.                                         ,148,0,
1506,63,327,436,ve věci ČEZ                                                 ,134,0,
1507,63,327,436,ve věci SPT Telecom                                         ,322,0,
1508,63,327,436,nespecifikováno I.                                          ,254,0,
1509,63,327,193,nespecifikováno I.                                          ,379,0,
1510,63,327,193,ve věci povodní                                             ,9,0,
1511,63,31,62,zemřelí ve věznicích ČR                                     ,314,0,
1512,63,323,264,ve věci bankovnictví                                        ,16,0,
1513,63,323,264,ve věci financí                                             ,171,0,
1514,63,323,284,nespecifikováno                                             ,348,0,
1515,63,323,436,ve věci bytové politiky                                     ,273,0,
1516,63,323,436,ve věci bytové politiky                                     ,262,0,
1517,63,323,62,ve věci vězenského systému                                  ,378,0,
1518,63,323,272,ve věci školství                                            ,239,0,
1519,63,323,272,ve věci školství                                            ,333,0,
1520,63,323,152,ve věci zdravotnictví                                       ,166,0,
1521,63,323,152,ve věci zdravotnictví                                       ,169,0,
1522,63,180,62,nespecifikováno I.                                          ,10,0,
1523,63,180,62,nespecifikováno II.                                         ,203,0,
1524,63,180,62,nespecifikováno III.                                        ,364,0,
1525,63,180,193,nespecifikováno I.                                          ,320,0,
1526,63,180,193,nespecifikováno II.                                         ,327,0,
1527,63,180,193,nespecifikováno III.                                        ,372,0,
1528,63,180,276,nespecifikováno 1                                           ,198,0,
1529,63,180,276,nespecifikováno 2                                           ,64,0,
1530,63,180,276,nespecifikováno 3                                           ,57,0,
1531,63,180,276,nespecifikováno 4                                           ,126,0,
1532,63,180,276,nespecifikováno 5                                           ,329,0,
1533,63,180,276,nespecifikováno 6                                           ,317,0,
1534,63,180,276,nespecifikováno 7                                           ,173,0,
1535,63,180,276,nespecifikováno 8                                           ,86,0,
1536,63,180,276,nespecifikováno 9                                           ,153,0,
1537,63,180,276,nespecifikováno 10                                          ,360,0,
1538,63,180,276,nespecifikováno 11                                          ,390,0,
1539,63,180,276,nespecifikováno 12                                          ,219,0,
1540,63,328,276,ve věci bezpečnost                                          ,146,0,
1541,63,328,264,ve věci bankovnictví                                        ,334,0,
1542,63,328,286,ve věci cti                                                 ,282,0,
1543,63,328,286,ve věci nadbytečnosti                                       ,205,0,
1544,63,328,286,ve věci užitečnosti                                         ,119,0,
1545,63,328,193,ve věci obrany                                              ,332,0,
1546,63,328,193,ve věci obrany                                              ,106,0,
1547,63,328,193,ve věci obrany                                              ,388,0,
1548,63,328,272,ve věci tělovýchovy                                         ,66,0,
1549,63,328,272,ve věci mládeže                                             ,231,0,
1550,63,328,294,ve věci životního prostředí                                 ,202,0,
1551,63,328,294,ve věci životního prostředí                                 ,151,0,
1552,63,328,288,ve věci vnitřního obchodu                                   ,180,0,
1553,63,328,288,ve věci obchodu                                             ,136,0,
1554,63,328,288,ve věci průmyslu                                            ,90,0,
1555,63,328,284,ve věci imigrace uprchlíků                                  ,361,0,
1556,63,328,284,ve věci sudetoněm. otázky                                   ,384,0,
1557,63,328,284,ve věci identity českého národa                             ,75,0,
1558,63,328,264,ve věci relevance koruny                                    ,349,0,
1559,63,328,264,ve věci inflace                                             ,188,0,
1560,63,328,264,ve věci bankovnictví                                        ,300,0,
1561,63,328,62,ve věci spravedlnosti                                       ,285,0,
1562,63,328,62,ve věci spravedlnosti                                       ,356,0,
1563,63,328,62,ve věci spravedlnosti                                       ,294,0,
1564,63,328,299,ve věci ovocnářství                                         ,122,0,
1565,63,328,299,ve věci rostlinné výroby                                    ,185,0,
1566,63,328,299,ve věci živočišné výroby                                    ,344,0,
1567,63,328,272,ve věci školství                                            ,156,0,
1568,63,328,281,ve věci sociální                                            ,370,0,
1569,63,328,281,ve věci sociální                                            ,260,0,
1570,63,328,281,ve věci práce                                               ,160,0,
1571,63,328,276,ve věci bezpečnosti                                         ,355,0,
1572,63,328,276,ve věci bezpečnosti                                         ,288,0,
1573,63,328,276,ve věci bezpečnosti                                         ,242,0,
1574,63,328,302,ve věci kultury                                             ,109,0,
1575,63,328,302,ve věci kultury                                             ,88,0,
1576,63,328,302,ve věci kultury                                             ,227,0,
1577,63,328,152,ve věci zdravotnictví                                       ,191,0,
1578,63,328,152,ve věci zdravotnictví                                       ,249,0,
1579,63,328,152,ve věci zdravotnictví                                       ,79,0,
1580,63,328,437,ve věci dopravy                                             ,250,0,
1581,63,328,437,ve věci dopravy                                             ,213,0,
1582,63,328,437,ve věci dopravy                                             ,186,0,
1583,63,328,436,ve věci hospodářství                                        ,4,0,
1584,63,328,436,ve věci hospodářství                                        ,82,0,
1585,63,328,436,ve věci hospodářství                                        ,204,0,
1586,63,328,294,ve věci životního prostředí                                 ,286,0,
1587,63,326,281,nespecifikováno 1                                           ,265,0,
1588,63,326,281,nespecifikováno 2                                           ,176,0,
1589,63,326,152,nespecifikováno 1                                           ,121,0,
1590,63,326,152,nespecifikováno 2                                           ,50,0,
1591,63,326,284,nespecifikováno 1                                           ,162,0,
1592,63,326,284,nespecifikováno 2                                           ,199,0,
1593,63,326,284,nespecifikováno 3                                           ,277,0,
1594,63,326,284,nespecifikováno 4                                           ,116,0,
1595,63,326,264,nespecifikováno                                             ,44,0,
1596,63,326,437,nespecifikováno 1                                           ,161,0,
1597,63,326,437,nespecifikováno 2                                           ,296,0,
1598,63,326,437,nespecifikováno 3                                           ,117,0,
1599,63,326,437,nespecifikováno 4                                           ,293,0,
1600,64,322,263,dopad zpomal. prům. růstu na ekonomický růst                ,73,0,
1601,64,322,263,"dotaz, zda opět probíhá politizace škol                     ",48,0,
1602,64,322,263,jednání čs.-něm. strany o odškodnění vál. postiž. občanů    ,47,0,
1603,64,180,263,nespecifikováno 1                                           ,87,0,
1604,64,180,263,nespecifikováno 2                                           ,14,0,
1605,64,180,263,nespecifikováno 3                                           ,92,0,
1606,64,180,263,nespecifikováno 4                                           ,93,0,
1607,64,180,263,nespecifikováno 5                                           ,121,0,
1608,64,180,263,nespecifikováno 6                                           ,2,0,
1609,64,180,263,nespecifikováno 7                                           ,113,0,
1610,64,180,263,nespecifikováno 8                                           ,36,0,
1611,64,180,263,nespecifikováno 9                                           ,66,0,
1612,64,180,263,nespecifikováno 10                                          ,127,0,
1613,64,180,263,nespecifikováno 11                                          ,31,0,
1614,64,180,263,nespecifikováno 12                                          ,64,0,
1615,64,180,263,nespecifikováno 13                                          ,76,0,
1616,64,180,263,nespecifikováno 14                                          ,108,0,
1617,64,180,263,nespecifikováno 15                                          ,104,0,
1618,64,180,263,nespecifikováno 16                                          ,124,0,
1619,64,180,263,nespecifikováno 17                                          ,68,0,
1620,64,180,263,nespecifikováno 18                                          ,56,0,
1621,64,180,263,nespecifikováno 19                                          ,85,0,
